ID,field1,field2,field3,field4,field5,Timestamp
1,32.483570765056164,78.4866306896655,56922.93887904803,0,0,2025-06-09 08:21:40.391233
2,29.308678494144075,46.9235741890656,34469.13420939642,0,0,2025-06-09 08:22:40.391233
3,33.23844269050346,62.73660119212502,64927.89747044406,0,1,2025-06-09 08:23:40.391233
4,37.61514928204013,75.66854707213787,55306.56109999799,0,0,2025-06-09 08:24:40.391233
5,28.829233126383322,65.99089759263809,43192.09686568272,0,0,2025-06-09 08:25:40.391233
6,28.8293152152541,61.75673712491779,35759.18689163954,0,0,2025-06-09 08:26:40.391233
7,37.896064077536955,50.31516353038104,46302.30033802628,1,1,2025-06-09 08:27:40.391233
8,33.837173645764544,46.182308114322964,33661.974963448614,0,0,2025-06-09 08:28:40.391233
9,27.65262807032524,67.70050108917586,51168.77389767175,1,0,2025-06-09 08:29:40.391233
10,32.712800217929825,75.06147240774946,51708.7737043982,0,0,2025-06-09 08:30:40.391233
11,27.682911535937688,55.61150009521828,55234.145669526784,0,0,2025-06-09 08:31:40.391233
12,27.671351232148716,48.60938492383649,85324.84819343708,0,0,2025-06-09 08:32:40.391233
13,31.20981135783017,35.41830569450981,47351.105606008554,1,0,2025-06-09 08:33:40.391233
14,20.43359877671101,50.19235156337462,70091.95734248965,0,0,2025-06-09 08:34:40.391233
15,21.375410837434835,58.8634315750096,54591.74793951403,0,0,2025-06-09 08:35:40.391233
16,27.188562353795135,75.99123240836734,45235.11396203092,0,0,2025-06-09 08:36:40.391233
17,24.93584439832788,66.73133692232969,47616.81460097532,0,0,2025-06-09 08:37:40.391233
18,31.571236662976368,63.05085404706753,48823.471816638994,1,0,2025-06-09 08:38:40.391233
19,25.459879622393945,55.99880338698869,55595.354154564324,0,0,2025-06-09 08:39:40.391233
20,22.938481493323543,54.16834282744044,30813.5846956206,0,0,2025-06-09 08:40:40.391233
21,37.32824384460777,74.05647597507964,20693.19233110066,0,0,2025-06-09 08:41:40.391233
22,28.871118497567323,62.0073854075839,63085.947869485506,1,0,2025-06-09 08:42:40.391233
23,30.33764102343962,38.97399308078978,67962.47665162518,0,0,2025-06-09 08:43:40.391233
24,22.87625906893272,53.264603521027574,64912.71665605606,0,1,2025-06-09 08:44:40.391233
